Gender,Age,Country
Male,30-34,Australia
Female,40-44,Australia
Male,18-21,Australia
Male,50-54,Australia
Male,35-39,Australia
Female,40-44,Australia
Prefer to self-describe,18-21,Australia
Male,22-24,Australia
Male,22-24,Australia
Male,18-21,Australia
Male,50-54,Australia
Male,50-54,Australia
Male,40-44,Australia
Male,55-59,Australia
Male,30-34,Australia
Male,40-44,Australia
Male,30-34,Australia
Female,25-29,Australia
Male,30-34,Australia
Male,35-39,Australia
Male,25-29,Australia
Male,25-29,Australia
Male,25-29,Australia
Male,35-39,Australia
Male,40-44,Australia
Male,40-44,Australia
Male,35-39,Australia
Male,40-44,Australia
Male,30-34,Australia
Male,18-21,Australia
Male,18-21,Australia
Male,30-34,Australia
Female,18-21,Australia
Male,18-21,Australia
Male,22-24,Australia
Male,40-44,Australia
Male,30-34,Australia
Female,22-24,Australia
Male,40-44,Australia
Male,60-69,Australia
Prefer not to say,35-39,Australia
Male,18-21,Australia
Male,30-34,Australia
Male,40-44,Australia
Male,50-54,Australia
Male,35-39,Australia
Female,18-21,Australia
Female,25-29,Australia
Male,25-29,Australia
Male,25-29,Australia
Male,25-29,Australia
Male,35-39,Australia
Male,40-44,Australia
Female,25-29,Australia
Male,45-49,Australia
Male,45-49,Australia
Male,30-34,Australia
Female,22-24,Australia
Male,30-34,Australia
Male,55-59,Australia
Male,60-69,Australia
Male,60-69,Australia
Male,40-44,Australia
Male,35-39,Australia
Male,55-59,Australia
Male,40-44,Australia
Female,35-39,Australia
Male,40-44,Australia
Female,30-34,Australia
Prefer not to say,22-24,Australia
Prefer to self-describe,30-34,Australia
Male,22-24,Australia
Male,18-21,Australia
Male,25-29,Australia
Male,22-24,Australia
Male,50-54,Australia
Male,30-34,Australia
Female,18-21,Australia
Male,40-44,Australia
Male,35-39,Australia
Male,30-34,Australia
Female,18-21,Australia
Male,35-39,Australia
Male,18-21,Australia
Male,18-21,Australia
Male,60-69,Australia
Female,22-24,Australia
Female,18-21,Australia
Male,35-39,Australia
Male,30-34,Australia
Male,30-34,Australia
Male,30-34,Australia
Male,30-34,Australia
Male,30-34,Australia
Male,35-39,Australia
Female,35-39,Australia
Male,25-29,Australia
Male,22-24,Australia
Male,22-24,Australia
Female,22-24,Australia
Male,40-44,Australia
Male,18-21,Australia
Female,30-34,Australia
Male,18-21,Australia
Male,55-59,Australia
Male,30-34,Australia
Male,22-24,Australia
Male,25-29,Australia
Female,30-34,Australia
Male,18-21,Australia
Male,30-34,Australia
Male,30-34,Australia
Male,50-54,Australia
Female,22-24,Australia
Male,30-34,Australia
Male,55-59,Australia
Male,30-34,Australia
Male,35-39,Australia
Male,25-29,Australia
Male,40-44,Australia
Male,22-24,Australia
Male,22-24,Australia
Male,30-34,Australia
Male,30-34,Australia
Male,55-59,Australia
Male,45-49,Australia
Male,30-34,Australia
Male,45-49,Australia
Male,30-34,Australia
Male,30-34,Australia
Male,35-39,Australia
Female,30-34,Australia
Male,25-29,Australia
Female,25-29,Australia
Male,30-34,Australia
Male,25-29,Australia
Male,30-34,Australia
Male,25-29,Australia
Male,40-44,Australia
Male,35-39,Australia
Male,25-29,Australia
Male,55-59,Australia
Male,50-54,Australia
Male,18-21,Australia
Female,25-29,Australia
Female,30-34,Australia
Male,25-29,Australia
Male,35-39,Australia
Male,30-34,Australia
Male,50-54,Australia
Male,30-34,Australia
Male,25-29,Australia
Male,55-59,Australia
Female,45-49,Australia
Male,25-29,Australia
Male,30-34,Australia
Male,30-34,Australia
Male,30-34,Australia
Male,25-29,Australia
Male,45-49,Australia
Male,35-39,Australia
Female,40-44,Australia
Male,25-29,Australia
Male,30-34,Australia
Male,30-34,Australia
Female,30-34,Australia
Male,30-34,Australia
Female,35-39,Australia
Male,22-24,Australia
Male,30-34,Australia
Male,22-24,Australia
Male,35-39,Australia
Male,22-24,Australia
Male,55-59,Australia
Male,30-34,Australia
Male,45-49,Australia
Male,45-49,Australia
Male,35-39,Australia
Male,30-34,Australia
Male,55-59,Australia
Male,35-39,Australia
Male,25-29,Austria
Male,40-44,Austria
Male,25-29,Austria
Male,25-29,Austria
Male,40-44,Austria
Male,22-24,Austria
Male,25-29,Austria
Male,40-44,Austria
Male,25-29,Austria
Male,22-24,Austria
Male,18-21,Austria
Male,30-34,Austria
Male,22-24,Austria
Male,30-34,Austria
Male,25-29,Austria
Male,30-34,Austria
Male,35-39,Austria
Female,25-29,Austria
Male,25-29,Austria
Female,18-21,Austria
Male,40-44,Austria
Male,25-29,Austria
Male,35-39,Austria
Male,30-34,Austria
Female,25-29,Austria
Male,18-21,Austria
Male,60-69,Austria
Male,25-29,Austria
Male,30-34,Austria
Male,25-29,Austria
Male,40-44,Austria
Male,50-54,Austria
Male,25-29,Austria
Female,25-29,Austria
Male,45-49,Austria
Male,30-34,Austria
Male,18-21,Austria
Male,30-34,Austria
Male,25-29,Austria
Male,25-29,Austria
Male,22-24,Austria
Female,30-34,Austria
Male,30-34,Austria
Male,25-29,Austria
Male,45-49,Austria
Male,30-34,Austria
Male,18-21,Austria
Male,22-24,Austria
Male,40-44,Austria
Male,40-44,Austria
Female,40-44,Austria
Male,25-29,Austria
Male,35-39,Austria
Male,25-29,Austria
Male,55-59,Austria
Male,35-39,Austria
Male,25-29,Austria
Male,18-21,Austria
Female,22-24,Austria
Male,25-29,Austria
Male,30-34,Austria
Male,35-39,Austria
Male,22-24,Bangladesh
Female,25-29,Bangladesh
Female,22-24,Bangladesh
Male,18-21,Bangladesh
Female,18-21,Bangladesh
Male,22-24,Bangladesh
Male,30-34,Bangladesh
Female,18-21,Bangladesh
Male,22-24,Bangladesh
Male,18-21,Bangladesh
Male,25-29,Bangladesh
Male,18-21,Bangladesh
Male,35-39,Bangladesh
Male,22-24,Bangladesh
Male,18-21,Bangladesh
Male,18-21,Bangladesh
Male,22-24,Bangladesh
Male,22-24,Bangladesh
Male,30-34,Bangladesh
Male,22-24,Bangladesh
Male,25-29,Bangladesh
Male,18-21,Bangladesh
Male,30-34,Bangladesh
Female,18-21,Bangladesh
Male,25-29,Bangladesh
Male,22-24,Bangladesh
Female,22-24,Bangladesh
Male,22-24,Bangladesh
Male,25-29,Bangladesh
Male,18-21,Bangladesh
Male,22-24,Bangladesh
Male,30-34,Bangladesh
Male,25-29,Bangladesh
Male,25-29,Bangladesh
Male,25-29,Bangladesh
Male,25-29,Bangladesh
Male,30-34,Bangladesh
Female,25-29,Bangladesh
Male,25-29,Bangladesh
Male,18-21,Bangladesh
Male,22-24,Bangladesh
Male,25-29,Bangladesh
Male,18-21,Bangladesh
Male,25-29,Bangladesh
Male,25-29,Bangladesh
Male,25-29,Bangladesh
Male,18-21,Bangladesh
Female,22-24,Bangladesh
Male,22-24,Bangladesh
Male,22-24,Bangladesh
Male,25-29,Bangladesh
Male,25-29,Bangladesh
Male,45-49,Bangladesh
Male,22-24,Bangladesh
Male,18-21,Bangladesh
Male,18-21,Bangladesh
Female,22-24,Bangladesh
Male,22-24,Bangladesh
Male,22-24,Bangladesh
Male,25-29,Bangladesh
Male,22-24,Bangladesh
Male,22-24,Bangladesh
Female,22-24,Bangladesh
Male,22-24,Bangladesh
Male,22-24,Bangladesh
Male,22-24,Bangladesh
Male,25-29,Bangladesh
Male,35-39,Bangladesh
Male,30-34,Bangladesh
Male,22-24,Bangladesh
Male,22-24,Bangladesh
Male,22-24,Bangladesh
Male,25-29,Bangladesh
Male,22-24,Bangladesh
Male,22-24,Bangladesh
Male,25-29,Bangladesh
Male,22-24,Bangladesh
Male,25-29,Bangladesh
Male,22-24,Bangladesh
Male,30-34,Bangladesh
Male,22-24,Bangladesh
Male,22-24,Bangladesh
Male,22-24,Bangladesh
Male,22-24,Bangladesh
Male,25-29,Bangladesh
Male,40-44,Bangladesh
Female,22-24,Bangladesh
Male,25-29,Bangladesh
Male,22-24,Bangladesh
Male,30-34,Bangladesh
Male,22-24,Bangladesh
Male,22-24,Bangladesh
Male,25-29,Bangladesh
Male,35-39,Bangladesh
Male,40-44,Bangladesh
Male,22-24,Bangladesh
Male,22-24,Bangladesh
Male,25-29,Bangladesh
Male,22-24,Bangladesh
Male,25-29,Bangladesh
Male,22-24,Bangladesh
Male,22-24,Bangladesh
Male,25-29,Bangladesh
Female,22-24,Bangladesh
Male,30-34,Bangladesh
Female,22-24,Bangladesh
Male,22-24,Bangladesh
Female,22-24,Belarus
Male,40-44,Belarus
Female,18-21,Belarus
Male,30-34,Belarus
Male,25-29,Belarus
Male,45-49,Belarus
Male,22-24,Belarus
Male,18-21,Belarus
Male,22-24,Belarus
Male,25-29,Belarus
Male,22-24,Belarus
Male,25-29,Belarus
Male,25-29,Belarus
Male,18-21,Belarus
Male,18-21,Belarus
Male,60-69,Belarus
Male,25-29,Belarus
Female,25-29,Belarus
Female,25-29,Belarus
Male,18-21,Belarus
Male,25-29,Belarus
Male,22-24,Belarus
Male,18-21,Belarus
Male,40-44,Belarus
Male,25-29,Belarus
Male,35-39,Belarus
Male,30-34,Belarus
Female,18-21,Belarus
Male,40-44,Belarus
Male,22-24,Belarus
Male,35-39,Belarus
Male,18-21,Belarus
Male,18-21,Belarus
Male,25-29,Belarus
Female,40-44,Belarus
Male,18-21,Belarus
Male,22-24,Belarus
Male,30-34,Belarus
Male,25-29,Belarus
Male,22-24,Belarus
Male,22-24,Belarus
Female,18-21,Belarus
Male,22-24,Belarus
Male,30-34,Belarus
Male,30-34,Belarus
Male,35-39,Belarus
Female,22-24,Belarus
Female,18-21,Belarus
Male,25-29,Belarus
Female,22-24,Belarus
Male,30-34,Belarus
Male,30-34,Belarus
Male,35-39,Belarus
Female,22-24,Belarus
Male,30-34,Belarus
Male,22-24,Belarus
Male,22-24,Belarus
Male,22-24,Belarus
Male,40-44,Belarus
Male,30-34,Belarus
Male,40-44,Belarus
Male,18-21,Belarus
Male,18-21,Belarus
Male,45-49,Belarus
Male,18-21,Belarus
Male,25-29,Belarus
Male,22-24,Belarus
Male,22-24,Belarus
Male,30-34,Belarus
Female,18-21,Belarus
Female,25-29,Belarus
Female,25-29,Belarus
Male,18-21,Belarus
Male,18-21,Belarus
Male,25-29,Belarus
Male,22-24,Belarus
Male,18-21,Belarus
Male,18-21,Belarus
Male,45-49,Belarus
Male,18-21,Belarus
Female,18-21,Belarus
Male,18-21,Belarus
Male,30-34,Belarus
Male,18-21,Belarus
Male,40-44,Belarus
Male,18-21,Belarus
Male,18-21,Belarus
Male,18-21,Belarus
Female,22-24,Belarus
Male,30-34,Belarus
Male,40-44,Belarus
Male,25-29,Belgium
Male,22-24,Belgium
Male,22-24,Belgium
Male,25-29,Belgium
Male,22-24,Belgium
Male,22-24,Belgium
Female,35-39,Belgium
Male,30-34,Belgium
Male,30-34,Belgium
Male,22-24,Belgium
Male,35-39,Belgium
Male,40-44,Belgium
Male,55-59,Belgium
Male,25-29,Belgium
Male,22-24,Belgium
Male,18-21,Belgium
Male,30-34,Belgium
Male,25-29,Belgium
Male,35-39,Belgium
Male,30-34,Belgium
Male,25-29,Belgium
Male,30-34,Belgium
Male,25-29,Belgium
Male,22-24,Belgium
Male,22-24,Belgium
Male,25-29,Belgium
Male,30-34,Belgium
Male,35-39,Belgium
Male,18-21,Belgium
Male,35-39,Belgium
Male,50-54,Belgium
Male,30-34,Belgium
Male,30-34,Belgium
Male,30-34,Belgium
Male,30-34,Belgium
Male,30-34,Belgium
Male,60-69,Belgium
Female,25-29,Belgium
Male,30-34,Belgium
Female,30-34,Belgium
Male,50-54,Belgium
Male,18-21,Belgium
Male,30-34,Belgium
Prefer to self-describe,25-29,Belgium
Male,18-21,Belgium
Male,30-34,Belgium
Male,30-34,Belgium
Male,30-34,Belgium
Male,35-39,Belgium
Male,22-24,Belgium
Male,30-34,Belgium
Male,30-34,Belgium
Male,30-34,Belgium
Male,50-54,Belgium
Male,45-49,Belgium
Male,35-39,Belgium
Male,35-39,Belgium
Male,40-44,Belgium
Male,60-69,Belgium
Male,22-24,Belgium
Male,18-21,Belgium
Female,25-29,Belgium
Male,22-24,Belgium
Male,22-24,Belgium
Male,22-24,Belgium
Male,22-24,Belgium
Female,25-29,Belgium
Male,55-59,Belgium
Male,18-21,Belgium
Male,30-34,Belgium
Male,18-21,Belgium
Male,30-34,Belgium
Male,30-34,Belgium
Male,30-34,Belgium
Male,35-39,Belgium
Female,22-24,Belgium
Male,30-34,Belgium
Male,40-44,Belgium
Male,35-39,Belgium
Male,45-49,Belgium
Male,35-39,Belgium
Male,25-29,Belgium
Male,25-29,Belgium
Male,22-24,Belgium
Male,40-44,Belgium
Male,22-24,Belgium
Male,25-29,Belgium
Male,25-29,Belgium
Male,25-29,Belgium
Male,25-29,Belgium
Male,25-29,Belgium
Male,25-29,Belgium
Male,40-44,Belgium
Female,25-29,Belgium
Male,30-34,Belgium
Male,30-34,Belgium
Male,25-29,Belgium
Male,25-29,Belgium
Male,45-49,Belgium
Male,22-24,Belgium
Male,22-24,Belgium
Male,22-24,Belgium
Female,30-34,Belgium
Male,22-24,Belgium
Male,30-34,Belgium
Male,22-24,Belgium
Male,45-49,Belgium
Male,30-34,Belgium
Male,25-29,Belgium
Male,30-34,Belgium
Male,30-34,Belgium
Male,22-24,Brazil
Male,35-39,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,50-54,Brazil
Male,45-49,Brazil
Male,22-24,Brazil
Male,18-21,Brazil
Male,22-24,Brazil
Male,30-34,Brazil
Male,25-29,Brazil
Male,22-24,Brazil
Male,30-34,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,45-49,Brazil
Male,25-29,Brazil
Female,18-21,Brazil
Male,35-39,Brazil
Male,22-24,Brazil
Male,35-39,Brazil
Male,50-54,Brazil
Male,22-24,Brazil
Male,25-29,Brazil
Male,22-24,Brazil
Male,25-29,Brazil
Female,22-24,Brazil
Male,18-21,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,50-54,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,35-39,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,55-59,Brazil
Male,35-39,Brazil
Male,35-39,Brazil
Male,35-39,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Female,22-24,Brazil
Male,55-59,Brazil
Male,22-24,Brazil
Male,50-54,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,30-34,Brazil
Male,22-24,Brazil
Male,55-59,Brazil
Male,35-39,Brazil
Male,18-21,Brazil
Male,55-59,Brazil
Female,18-21,Brazil
Female,22-24,Brazil
Prefer to self-describe,18-21,Brazil
Male,18-21,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,30-34,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,18-21,Brazil
Male,25-29,Brazil
Female,18-21,Brazil
Male,18-21,Brazil
Male,22-24,Brazil
Male,18-21,Brazil
Male,35-39,Brazil
Male,35-39,Brazil
Male,18-21,Brazil
Male,30-34,Brazil
Male,22-24,Brazil
Male,30-34,Brazil
Male,35-39,Brazil
Male,22-24,Brazil
Male,18-21,Brazil
Male,25-29,Brazil
Male,22-24,Brazil
Male,25-29,Brazil
Male,30-34,Brazil
Male,55-59,Brazil
Male,35-39,Brazil
Male,18-21,Brazil
Male,22-24,Brazil
Male,55-59,Brazil
Male,18-21,Brazil
Male,50-54,Brazil
Male,18-21,Brazil
Male,18-21,Brazil
Male,50-54,Brazil
Male,25-29,Brazil
Male,35-39,Brazil
Male,30-34,Brazil
Male,18-21,Brazil
Male,55-59,Brazil
Male,35-39,Brazil
Male,50-54,Brazil
Female,40-44,Brazil
Male,18-21,Brazil
Male,18-21,Brazil
Male,30-34,Brazil
Female,18-21,Brazil
Male,22-24,Brazil
Male,30-34,Brazil
Male,22-24,Brazil
Male,18-21,Brazil
Male,22-24,Brazil
Male,18-21,Brazil
Male,25-29,Brazil
Male,22-24,Brazil
Male,18-21,Brazil
Male,22-24,Brazil
Male,18-21,Brazil
Male,18-21,Brazil
Male,22-24,Brazil
Male,50-54,Brazil
Male,18-21,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,18-21,Brazil
Male,18-21,Brazil
Male,25-29,Brazil
Male,22-24,Brazil
Male,40-44,Brazil
Male,30-34,Brazil
Male,25-29,Brazil
Male,25-29,Brazil
Male,18-21,Brazil
Male,22-24,Brazil
Male,18-21,Brazil
Male,18-21,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,25-29,Brazil
Male,55-59,Brazil
Male,18-21,Brazil
Male,18-21,Brazil
Male,25-29,Brazil
Male,25-29,Brazil
Male,25-29,Brazil
Male,22-24,Brazil
Male,35-39,Brazil
Female,22-24,Brazil
Female,30-34,Brazil
Female,55-59,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,18-21,Brazil
Male,45-49,Brazil
Female,22-24,Brazil
Male,18-21,Brazil
Male,18-21,Brazil
Male,30-34,Brazil
Male,50-54,Brazil
Male,18-21,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,18-21,Brazil
Male,22-24,Brazil
Male,30-34,Brazil
Male,30-34,Brazil
Female,22-24,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,18-21,Brazil
Male,30-34,Brazil
Male,50-54,Brazil
Male,45-49,Brazil
Male,22-24,Brazil
Male,30-34,Brazil
Male,50-54,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,45-49,Brazil
Male,22-24,Brazil
Male,30-34,Brazil
Male,22-24,Brazil
Male,50-54,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,30-34,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,55-59,Brazil
Male,22-24,Brazil
Male,18-21,Brazil
Male,22-24,Brazil
Male,35-39,Brazil
Male,22-24,Brazil
Male,35-39,Brazil
Male,45-49,Brazil
Male,45-49,Brazil
Male,30-34,Brazil
Male,18-21,Brazil
Male,45-49,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,35-39,Brazil
Male,18-21,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,18-21,Brazil
Male,35-39,Brazil
Male,18-21,Brazil
Female,22-24,Brazil
Male,22-24,Brazil
Male,18-21,Brazil
Male,22-24,Brazil
Male,35-39,Brazil
Male,22-24,Brazil
Female,18-21,Brazil
Male,45-49,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Female,22-24,Brazil
Male,30-34,Brazil
Male,18-21,Brazil
Male,45-49,Brazil
Male,35-39,Brazil
Male,45-49,Brazil
Male,22-24,Brazil
Male,55-59,Brazil
Male,55-59,Brazil
Male,30-34,Brazil
Male,22-24,Brazil
Male,50-54,Brazil
Male,18-21,Brazil
Male,50-54,Brazil
Male,30-34,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Female,22-24,Brazil
Male,22-24,Brazil
Male,35-39,Brazil
Male,50-54,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Female,22-24,Brazil
Male,18-21,Brazil
Male,35-39,Brazil
Male,18-21,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Female,22-24,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,45-49,Brazil
Female,22-24,Brazil
Male,50-54,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,45-49,Brazil
Male,45-49,Brazil
Male,18-21,Brazil
Male,22-24,Brazil
Male,50-54,Brazil
Male,22-24,Brazil
Female,30-34,Brazil
Male,18-21,Brazil
Male,35-39,Brazil
Male,45-49,Brazil
Male,45-49,Brazil
Female,22-24,Brazil
Female,30-34,Brazil
Male,50-54,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,55-59,Brazil
Male,22-24,Brazil
Female,35-39,Brazil
Male,50-54,Brazil
Male,30-34,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,30-34,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,30-34,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,30-34,Brazil
Male,30-34,Brazil
Male,22-24,Brazil
Male,50-54,Brazil
Male,30-34,Brazil
Male,22-24,Brazil
Male,35-39,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,45-49,Brazil
Male,30-34,Brazil
Male,50-54,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,22-24,Brazil
Male,35-39,Brazil
Female,22-24,Brazil
Male,22-24,Brazil
Male,35-39,Brazil
Male,18-21,Brazil
Male,45-49,Brazil
Male,30-34,Brazil
Male,25-29,Brazil
Male,30-34,Brazil
Male,35-39,Brazil
Male,25-29,Brazil
Male,25-29,Brazil
Male,25-29,Brazil
Male,70-79,Brazil
Female,25-29,Brazil
Male,30-34,Brazil
Male,60-69,Brazil
Male,25-29,Brazil
Male,30-34,Brazil
Male,25-29,Brazil
Male,25-29,Brazil
Female,25-29,Brazil
Male,40-44,Brazil
Male,25-29,Brazil
Male,25-29,Brazil
Male,25-29,Brazil
Male,30-34,Brazil
Male,40-44,Brazil
Male,30-34,Brazil
Prefer not to say,30-34,Brazil
Male,18-21,Brazil
Male,25-29,Brazil
Male,18-21,Brazil
Male,25-29,Brazil
Male,30-34,Brazil
Male,30-34,Brazil
Male,18-21,Brazil
Male,35-39,Brazil
Male,25-29,Brazil
Male,25-29,Brazil
Female,18-21,Brazil
