Job_Title,Industry,Experience_In_Current_Role,Annual_Compensation,ML_In_Use
Business Analyst,Computers/Technology,10-15,"10-20,000",No (we do not use ML methods)
Software Engineer,Computers/Technology,2-3,"10-20,000",I do not know
Student,Computers/Technology,0-1,,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Business Analyst,Hospitality/Entertainment/Sports,1-2,"70-80,000",No (we do not use ML methods)
Data Scientist,Broadcasting/Communications,0-1,"100-125,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,Energy/Mining,2-3,I do not wish to disclose my approximate yearly compensation,"We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,Accounting/Finance,1-2,"60-70,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Computers/Technology,5-10,"90-100,000",No (we do not use ML methods)
Software Engineer,Computers/Technology,10-15,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,0-1,"30-40,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Academics/Education,2-3,"80-90,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Other,Shipping/Transportation,3-4,"10-20,000",I do not know
Software Engineer,Online Service/Internet-based Services,10-15,"400-500,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Research Scientist,Computers/Technology,1-2,"40-50,000",We use ML methods for generating insights (but do not put working models into production)
Data Scientist,Computers/Technology,0-1,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Not employed,,0,,
Software Engineer,Online Business/Internet-based Sales,10-15,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,15-20,"0-10,000",I do not know
Data Analyst,Manufacturing/Fabrication,5-10,"0-10,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,0-1,"0-10,000",I do not know
Research Scientist,Academics/Education,5-10,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Student,Academics/Education,1-2,"10-20,000",We use ML methods for generating insights (but do not put working models into production)
Data Scientist,Accounting/Finance,4-5,"70-80,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,I am a student,0-1,"0-10,000",I do not know
Student,Accounting/Finance,3-4,"125-150,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Other,Academics/Education,5-10,"20-30,000",No (we do not use ML methods)
Software Engineer,Broadcasting/Communications,3-4,"70-80,000",No (we do not use ML methods)
Software Engineer,Online Service/Internet-based Services,20-25,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Consultant,Accounting/Finance,4-5,"40-50,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,5-10,"50-60,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Computers/Technology,0-1,"50-60,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,Online Service/Internet-based Services,1-2,"40-50,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Software Engineer,Computers/Technology,5-10,"40-50,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Software Engineer,Computers/Technology,1-2,"30-40,000",No (we do not use ML methods)
Not employed,,0,,
Data Scientist,Medical/Pharmaceutical,3-4,"125-150,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Analyst,Computers/Technology,1-2,"70-80,000",No (we do not use ML methods)
Data Analyst,Insurance/Risk Assessment,1-2,"30-40,000",No (we do not use ML methods)
Consultant,Non-profit/Service,5-10,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Research Scientist,Government/Public Service,3-4,"100-125,000",We use ML methods for generating insights (but do not put working models into production)
Data Scientist,Other,0-1,"40-50,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Accounting/Finance,4-5,"100-125,000",We are exploring ML methods (and may one day put a model into production)
Data Engineer,Computers/Technology,2-3,"100-125,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Software Engineer,Computers/Technology,0-1,"30-40,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Non-profit/Service,10-15,"125-150,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,Energy/Mining,1-2,"70-80,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Research Assistant,Academics/Education,1-2,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Manufacturing/Fabrication,1-2,"40-50,000",We are exploring ML methods (and may one day put a model into production)
Other,Academics/Education,10-15,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Research Assistant,Academics/Education,0-1,"50-60,000",We use ML methods for generating insights (but do not put working models into production)
Research Scientist,Accounting/Finance,3-4,"100-125,000",We are exploring ML methods (and may one day put a model into production)
Not employed,,0,,
Data Scientist,Government/Public Service,2-3,"70-80,000",No (we do not use ML methods)
Software Engineer,Other,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Data Analyst,Computers/Technology,0-1,"30-40,000",We use ML methods for generating insights (but do not put working models into production)
Data Analyst,Medical/Pharmaceutical,0-1,"0-10,000",No (we do not use ML methods)
Student,Academics/Education,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Research Assistant,Academics/Education,1-2,"20-30,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Software Engineer,Accounting/Finance,5-10,"50-60,000",No (we do not use ML methods)
Student,I am a student,10-15,I do not wish to disclose my approximate yearly compensation,I do not know
Developer Advocate,Computers/Technology,2-3,"150-200,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Analyst,Marketing/CRM,0-1,"60-70,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Software Engineer,Accounting/Finance,4-5,"80-90,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Online Service/Internet-based Services,1-2,"125-150,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Consultant,Government/Public Service,2-3,"20-30,000",I do not know
Data Analyst,Other,0-1,"10-20,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Marketing Analyst,Manufacturing/Fabrication,15-20,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Not employed,,0,,
Other,Shipping/Transportation,3-4,"100-125,000",No (we do not use ML methods)
Data Scientist,Insurance/Risk Assessment,0-1,"125-150,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,Accounting/Finance,1-2,"60-70,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Research Assistant,Academics/Education,3-4,"0-10,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Analyst,Other,0-1,"40-50,000",I do not know
Student,Computers/Technology,0-1,"0-10,000",We use ML methods for generating insights (but do not put working models into production)
Software Engineer,Computers/Technology,1-2,"30-40,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Business Analyst,Accounting/Finance,1-2,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Computers/Technology,1-2,"10-20,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Engineer,Accounting/Finance,10-15,,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Computers/Technology,0-1,"40-50,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Not employed,,0,,
Student,I am a student,5-10,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Not employed,,0,,
Product/Project Manager,Computers/Technology,5-10,"150-200,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Marketing Analyst,Marketing/CRM,10-15,"0-10,000",We use ML methods for generating insights (but do not put working models into production)
Data Scientist,Broadcasting/Communications,5-10,"40-50,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,1-2,"0-10,000",No (we do not use ML methods)
Software Engineer,Government/Public Service,15-20,"50-60,000",No (we do not use ML methods)
Data Scientist,Broadcasting/Communications,5-10,"50-60,000",We are exploring ML methods (and may one day put a model into production)
Product/Project Manager,Accounting/Finance,1-2,"40-50,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,Computers/Technology,3-4,"10-20,000",We use ML methods for generating insights (but do not put working models into production)
Consultant,Computers/Technology,3-4,"20-30,000",No (we do not use ML methods)
Data Scientist,Broadcasting/Communications,0-1,"100-125,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Computers/Technology,1-2,"40-50,000",We use ML methods for generating insights (but do not put working models into production)
Software Engineer,Computers/Technology,3-4,"30-40,000",No (we do not use ML methods)
Principal Investigator,Manufacturing/Fabrication,15-20,"30-40,000",We are exploring ML methods (and may one day put a model into production)
Student,Academics/Education,0-1,"0-10,000",I do not know
Software Engineer,Manufacturing/Fabrication,5-10,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Data Engineer,Accounting/Finance,5-10,"100-125,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,Computers/Technology,2-3,"90-100,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Software Engineer,Energy/Mining,2-3,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Software Engineer,Accounting/Finance,5-10,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Data Scientist,Computers/Technology,3-4,"40-50,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Research Scientist,Academics/Education,2-3,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Software Engineer,Computers/Technology,5-10,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Data Scientist,Marketing/CRM,1-2,"30-40,000",We are exploring ML methods (and may one day put a model into production)
Manager,Military/Security/Defense,10-15,"90-100,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Government/Public Service,25-30,"150-200,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Engineer,Computers/Technology,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Computers/Technology,3-4,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,1-2,"0-10,000",We use ML methods for generating insights (but do not put working models into production)
Data Analyst,I am a student,2-3,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Data Analyst,Online Service/Internet-based Services,1-2,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Student,I am a student,5-10,"0-10,000",No (we do not use ML methods)
Data Scientist,Computers/Technology,0-1,"30-40,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Analyst,Computers/Technology,0-1,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,1-2,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Data Analyst,I am a student,2-3,"0-10,000",I do not know
Student,I am a student,1-2,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,Academics/Education,1-2,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Data Engineer,Computers/Technology,0-1,"40-50,000",We are exploring ML methods (and may one day put a model into production)
Data Analyst,Computers/Technology,1-2,"0-10,000",No (we do not use ML methods)
Student,I am a student,1-2,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,Computers/Technology,1-2,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Academics/Education,15-20,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,4-5,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,0-1,"0-10,000",I do not know
Student,I am a student,4-5,"20-30,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,15-20,"0-10,000",I do not know
Student,Accounting/Finance,0-1,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Student,Computers/Technology,10-15,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Product/Project Manager,Government/Public Service,0-1,"0-10,000",No (we do not use ML methods)
Student,Medical/Pharmaceutical,0-1,I do not wish to disclose my approximate yearly compensation,"We have well established ML methods (i.e., models in production for more than 2 years)"
Data Engineer,Computers/Technology,2-3,"0-10,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,15-20,"0-10,000",I do not know
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Student,I am a student,4-5,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,15-20,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,Computers/Technology,2-3,I do not wish to disclose my approximate yearly compensation,I do not know
Data Engineer,I am a student,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Student,I am a student,0-1,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,Academics/Education,20-25,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,5-10,"50-60,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,1-2,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Data Analyst,Government/Public Service,2-3,"20-30,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Student,Academics/Education,1-2,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,2-3,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Student,Online Business/Internet-based Sales,0-1,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Student,I am a student,2-3,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Online Service/Internet-based Services,3-4,"70-80,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Software Engineer,Computers/Technology,5-10,"60-70,000",No (we do not use ML methods)
Data Scientist,Medical/Pharmaceutical,2-3,"40-50,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,0-1,"10-20,000",No (we do not use ML methods)
Student,Academics/Education,1-2,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,1-2,"0-10,000",No (we do not use ML methods)
Research Assistant,Academics/Education,2-3,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Computers/Technology,0-1,,"We have well established ML methods (i.e., models in production for more than 2 years)"
Product/Project Manager,Online Service/Internet-based Services,2-3,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Data Analyst,Accounting/Finance,2-3,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Data Engineer,Online Service/Internet-based Services,1-2,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Data Scientist,Accounting/Finance,0-1,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,15-20,"0-10,000",I do not know
Student,I am a student,3-4,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Student,Academics/Education,1-2,"30-40,000",No (we do not use ML methods)
Business Analyst,Academics/Education,3-4,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Data Engineer,Online Business/Internet-based Sales,1-2,"10-20,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,10-15,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,"We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,Computers/Technology,2-3,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Software Engineer,Academics/Education,1-2,"20-30,000",We are exploring ML methods (and may one day put a model into production)
Student,Academics/Education,0-1,"0-10,000",We use ML methods for generating insights (but do not put working models into production)
Student,I am a student,1-2,I do not wish to disclose my approximate yearly compensation,I do not know
Research Scientist,Academics/Education,5-10,"20-30,000",We are exploring ML methods (and may one day put a model into production)
Data Analyst,Insurance/Risk Assessment,1-2,"0-10,000",We use ML methods for generating insights (but do not put working models into production)
Software Engineer,Computers/Technology,1-2,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Student,I am a student,1-2,"0-10,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Software Engineer,Computers/Technology,3-4,"20-30,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Not employed,,0,,
Student,I am a student,15-20,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,1-2,"30-40,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Business Analyst,Accounting/Finance,0-1,"0-10,000",No (we do not use ML methods)
Software Engineer,Computers/Technology,2-3,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Developer Advocate,Computers/Technology,1-2,"20-30,000",No (we do not use ML methods)
Research Assistant,Computers/Technology,0-1,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,10-15,"0-10,000",No (we do not use ML methods)
Student,Academics/Education,2-3,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Data Engineer,Online Service/Internet-based Services,0-1,"40-50,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Product/Project Manager,Manufacturing/Fabrication,3-4,"20-30,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Computers/Technology,5-10,"20-30,000",We are exploring ML methods (and may one day put a model into production)
Data Analyst,Accounting/Finance,2-3,"10-20,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Other,Online Business/Internet-based Sales,1-2,"0-10,000",No (we do not use ML methods)
Student,Academics/Education,2-3,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Business Analyst,Online Service/Internet-based Services,2-3,"50-60,000",We are exploring ML methods (and may one day put a model into production)
Business Analyst,Computers/Technology,0-1,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Data Analyst,Other,2-3,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Other,Online Service/Internet-based Services,5-10,"100-125,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,0,,I do not know
Student,I am a student,0-1,"0-10,000",We use ML methods for generating insights (but do not put working models into production)
Student,I am a student,0-1,,I do not know
Student,Online Service/Internet-based Services,0-1,"0-10,000",No (we do not use ML methods)
Software Engineer,Accounting/Finance,1-2,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Shipping/Transportation,5-10,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Accounting/Finance,5-10,"30-40,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Computers/Technology,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Student,I am a student,0-1,"0-10,000",No (we do not use ML methods)
Data Scientist,I am a student,2-3,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,15-20,"0-10,000",I do not know
Other,Academics/Education,2-3,,No (we do not use ML methods)
Data Scientist,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Software Engineer,Computers/Technology,0-1,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Software Engineer,Military/Security/Defense,5-10,"0-10,000",No (we do not use ML methods)
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Software Engineer,Computers/Technology,2-3,"10-20,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Software Engineer,Computers/Technology,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Chief Officer,Computers/Technology,4-5,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Software Engineer,I am a student,1-2,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Student,Computers/Technology,10-15,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Data Analyst,Computers/Technology,1-2,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Academics/Education,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Online Service/Internet-based Services,4-5,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Engineer,Computers/Technology,3-4,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Computers/Technology,4-5,"20-30,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Accounting/Finance,3-4,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Computers/Technology,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Data Analyst,I am a student,1-2,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,0-1,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Not employed,,0,,
Student,Academics/Education,0-1,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Research Scientist,Government/Public Service,2-3,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0-1,"0-10,000",I do not know
Student,I am a student,15-20,I do not wish to disclose my approximate yearly compensation,I do not know
Other,Academics/Education,3-4,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Other,Computers/Technology,5-10,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Other,Medical/Pharmaceutical,5-10,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Accounting/Finance,1-2,I do not wish to disclose my approximate yearly compensation,"We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,Computers/Technology,2-3,"20-30,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Other,Academics/Education,20-25,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Business Analyst,Computers/Technology,4-5,"10-20,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,Computers/Technology,3-4,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Not employed,,0,,
Other,Academics/Education,15-20,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Not employed,,0,,
Software Engineer,Medical/Pharmaceutical,5-10,"20-30,000",No (we do not use ML methods)
Data Engineer,Computers/Technology,3-4,I do not wish to disclose my approximate yearly compensation,I do not know
Data Scientist,Academics/Education,1-2,"0-10,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Engineer,Academics/Education,1-2,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,0,,I do not know
Software Engineer,Computers/Technology,4-5,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Computers/Technology,0-1,,We are exploring ML methods (and may one day put a model into production)
Manager,Computers/Technology,2-3,"10-20,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,10-15,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Software Engineer,Computers/Technology,4-5,"30-40,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Business Analyst,Academics/Education,0-1,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Software Engineer,Accounting/Finance,0-1,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,Government/Public Service,4-5,"20-30,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Online Service/Internet-based Services,5-10,"60-70,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Computers/Technology,0-1,"50-60,000",I do not know
Software Engineer,Computers/Technology,0-1,,"We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,Computers/Technology,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Data Engineer,Computers/Technology,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Other,Energy/Mining,2-3,"20-30,000",No (we do not use ML methods)
Data Analyst,Non-profit/Service,3-4,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,Academics/Education,3-4,"0-10,000",We use ML methods for generating insights (but do not put working models into production)
Data Scientist,Accounting/Finance,0-1,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Manager,Computers/Technology,15-20,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Student,Computers/Technology,5-10,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Data Scientist,Computers/Technology,3-4,"20-30,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,"We have well established ML methods (i.e., models in production for more than 2 years)"
Data Analyst,I am a student,2-3,,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Online Service/Internet-based Services,4-5,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
